danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.678,0.758,1,-6.524,1,0.227,0.00495,0.0,0.57,0.318,165.423,audio_features,2yUzr8Sr6ldG8vmHhZwTnz,spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,https://api.spotify.com/v1/tracks/2yUzr8Sr6ldG8vmHhZwTnz,https://api.spotify.com/v1/audio-analysis/2yUzr8Sr6ldG8vmHhZwTnz,220584,4
0.861,0.694,9,-6.358,1,0.187,0.0658,0.0,0.286,0.257,101.919,audio_features,779jpZikRmH99DiSVpwCHD,spotify:track:779jpZikRmH99DiSVpwCHD,https://api.spotify.com/v1/tracks/779jpZikRmH99DiSVpwCHD,https://api.spotify.com/v1/audio-analysis/779jpZikRmH99DiSVpwCHD,123548,4
0.706,0.498,10,-8.561,1,0.126,0.145,0.0,0.0733,0.252,76.977,audio_features,15qRV1yUqFR6ViOwxoopod,spotify:track:15qRV1yUqFR6ViOwxoopod,https://api.spotify.com/v1/tracks/15qRV1yUqFR6ViOwxoopod,https://api.spotify.com/v1/audio-analysis/15qRV1yUqFR6ViOwxoopod,236883,4
0.746,0.549,9,-7.459,1,0.348,0.00412,1.02e-06,0.331,0.491,164.928,audio_features,5gzEL5O1ubbtIHUhLkSMTz,spotify:track:5gzEL5O1ubbtIHUhLkSMTz,https://api.spotify.com/v1/tracks/5gzEL5O1ubbtIHUhLkSMTz,https://api.spotify.com/v1/audio-analysis/5gzEL5O1ubbtIHUhLkSMTz,151182,4
0.809,0.788,1,-7.217,1,0.0889,0.00108,0.0,0.0625,0.344,95.637,audio_features,1icgLGTpX2fQXKRe4D7w2b,spotify:track:1icgLGTpX2fQXKRe4D7w2b,https://api.spotify.com/v1/tracks/1icgLGTpX2fQXKRe4D7w2b,https://api.spotify.com/v1/audio-analysis/1icgLGTpX2fQXKRe4D7w2b,295472,4
0.867,0.761,11,-6.646,1,0.142,0.182,0.0,0.0848,0.362,138.004,audio_features,3K5yjMCFHN4TRWKj1zdKIQ,spotify:track:3K5yjMCFHN4TRWKj1zdKIQ,https://api.spotify.com/v1/tracks/3K5yjMCFHN4TRWKj1zdKIQ,https://api.spotify.com/v1/audio-analysis/3K5yjMCFHN4TRWKj1zdKIQ,146087,4
0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,audio_features,2YSzYUF3jWqb9YP9VXmpjE,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/audio-analysis/2YSzYUF3jWqb9YP9VXmpjE,260111,4
0.93,0.682,9,-8.799,1,0.331,0.028,0.0,0.129,0.962,126.003,audio_features,1nQaTUDJ7Rc4yOvZmg9Ozr,spotify:track:1nQaTUDJ7Rc4yOvZmg9Ozr,https://api.spotify.com/v1/tracks/1nQaTUDJ7Rc4yOvZmg9Ozr,https://api.spotify.com/v1/audio-analysis/1nQaTUDJ7Rc4yOvZmg9Ozr,119016,4
0.831,0.793,1,-4.127,1,0.369,0.0195,0.0,0.259,0.833,144.967,audio_features,3ScMs95OaNlkrZuRe7gyYa,spotify:track:3ScMs95OaNlkrZuRe7gyYa,https://api.spotify.com/v1/tracks/3ScMs95OaNlkrZuRe7gyYa,https://api.spotify.com/v1/audio-analysis/3ScMs95OaNlkrZuRe7gyYa,149449,4
0.818,0.512,5,-9.056,0,0.0926,0.093,0.0441,0.11,0.155,131.967,audio_features,6x9pCndnXEoea0CMcfjs9W,spotify:track:6x9pCndnXEoea0CMcfjs9W,https://api.spotify.com/v1/tracks/6x9pCndnXEoea0CMcfjs9W,https://api.spotify.com/v1/audio-analysis/6x9pCndnXEoea0CMcfjs9W,143719,4
0.584,0.593,10,-9.614,0,0.138,0.00407,0.000849,0.226,0.319,149.972,audio_features,7H3lr9bsPBGFx5NyTuBBGc,spotify:track:7H3lr9bsPBGFx5NyTuBBGc,https://api.spotify.com/v1/tracks/7H3lr9bsPBGFx5NyTuBBGc,https://api.spotify.com/v1/audio-analysis/7H3lr9bsPBGFx5NyTuBBGc,180800,4
0.835,0.639,7,-6.827,1,0.364,0.295,0.0,0.369,0.926,146.03,audio_features,48k4TP7v4OtZRnblRrIEQT,spotify:track:48k4TP7v4OtZRnblRrIEQT,https://api.spotify.com/v1/tracks/48k4TP7v4OtZRnblRrIEQT,https://api.spotify.com/v1/audio-analysis/48k4TP7v4OtZRnblRrIEQT,185387,4
0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4
0.689,0.484,0,-8.874,1,0.383,0.0554,0.0,0.0666,0.35,161.077,audio_features,0tCqfQ0MHZBYvsZ169ZnUM,spotify:track:0tCqfQ0MHZBYvsZ169ZnUM,https://api.spotify.com/v1/tracks/0tCqfQ0MHZBYvsZ169ZnUM,https://api.spotify.com/v1/audio-analysis/0tCqfQ0MHZBYvsZ169ZnUM,167915,4
0.862,0.621,2,-7.423,1,0.283,0.379,0.0,0.415,0.239,124.081,audio_features,6ulEymrJ2Azx1uo3YHSE5w,spotify:track:6ulEymrJ2Azx1uo3YHSE5w,https://api.spotify.com/v1/tracks/6ulEymrJ2Azx1uo3YHSE5w,https://api.spotify.com/v1/audio-analysis/6ulEymrJ2Azx1uo3YHSE5w,170268,4
